Label,Text
Arritmia (crônica),"Sinais e sintomas: edema de membros inferiores, dor torácica, síncope, tontura."
Arritmia (recorrente),"Inclui palpitações, dor torácica, tontura, falta de ar ao esforço, edema de membros inferiores."
Arritmia (complicada),"Acometido por dor torácica, síncope, tontura."
Arritmia (associada a infecção bacteriana),"Manifesta-se com tontura, síncope, palpitações."
Arritmia (associada a infecção viral),"Caracteriza-se por tontura, síncope, dor torácica."
Arritmia (pós-operatória),"Manifesta-se com falta de ar ao esforço, dor torácica, edema de membros inferiores, síncope, palpitações, tontura."
Arritmia (idiopática),"Acometido por dor torácica, tontura, falta de ar ao esforço, palpitações."
Arritmia (grave),"Caracteriza-se por dor torácica, tontura, síncope, edema de membros inferiores, palpitações."
Arritmia (leve),"Sinais e sintomas: síncope, palpitações, dor torácica, tontura, falta de ar ao esforço."
Arritmia (moderada),"Acometido por síncope, palpitações, falta de ar ao esforço, edema de membros inferiores."
Arritmia (focal),"Sinais e sintomas: síncope, falta de ar ao esforço, palpitações, dor torácica, tontura."
Arritmia (sistêmica),"Caracteriza-se por palpitações, tontura, edema de membros inferiores, síncope."
Arritmia (exacerbada),"Acometido por tontura, dor torácica, falta de ar ao esforço, síncope."
Arritmia (controlada),"Acometido por tontura, síncope, falta de ar ao esforço."
Arritmia (mal controlada),"Inclui palpitações, edema de membros inferiores, dor torácica, síncope, tontura."
Arritmia (associada a imunossupressão),"Caracteriza-se por falta de ar ao esforço, edema de membros inferiores, palpitações, tontura, dor torácica."
Arritmia (associada a gestação),"Acometido por dor torácica, síncope, palpitações, tontura, falta de ar ao esforço."
Arritmia (sem complicações),"Inclui síncope, edema de membros inferiores, palpitações, dor torácica, tontura, falta de ar ao esforço."
Arritmia (com complicações),"Caracteriza-se por tontura, síncope, palpitações."
Acidente Vascular Cerebral (aguda),"Acometido por palpitações, síncope, falta de ar ao esforço."
Acidente Vascular Cerebral (crônica),"Manifesta-se com síncope, edema de membros inferiores, dor torácica, tontura."
Acidente Vascular Cerebral (recorrente),"Manifesta-se com falta de ar ao esforço, edema de membros inferiores, dor torácica, tontura, síncope, palpitações."
Acidente Vascular Cerebral (complicada),"Inclui falta de ar ao esforço, edema de membros inferiores, síncope, tontura."
Acidente Vascular Cerebral (associada a infecção bacteriana),"Acometido por falta de ar ao esforço, dor torácica, palpitações, síncope, tontura, edema de membros inferiores."
Acidente Vascular Cerebral (associada a infecção viral),"Manifesta-se com palpitações, síncope, tontura, falta de ar ao esforço, dor torácica, edema de membros inferiores."
Acidente Vascular Cerebral (pós-operatória),"Caracteriza-se por edema de membros inferiores, falta de ar ao esforço, dor torácica."
Acidente Vascular Cerebral (idiopática),"Inclui síncope, edema de membros inferiores, tontura, palpitações."
Acidente Vascular Cerebral (grave),"Caracteriza-se por falta de ar ao esforço, palpitações, síncope, dor torácica, edema de membros inferiores, tontura."
Acidente Vascular Cerebral (leve),"Inclui dor torácica, síncope, tontura."
Acidente Vascular Cerebral (moderada),"Caracteriza-se por edema de membros inferiores, falta de ar ao esforço, palpitações, síncope, tontura, dor torácica."
Acidente Vascular Cerebral (focal),"Inclui palpitações, edema de membros inferiores, falta de ar ao esforço, tontura."
Acidente Vascular Cerebral (sistêmica),"Inclui tontura, síncope, edema de membros inferiores, falta de ar ao esforço, dor torácica."
Acidente Vascular Cerebral (exacerbada),"Manifesta-se com dor torácica, falta de ar ao esforço, tontura, edema de membros inferiores."
Acidente Vascular Cerebral (controlada),"Manifesta-se com falta de ar ao esforço, dor torácica, síncope, edema de membros inferiores, tontura, palpitações."
Acidente Vascular Cerebral (mal controlada),"Inclui dor torácica, falta de ar ao esforço, edema de membros inferiores, síncope, palpitações, tontura."
Acidente Vascular Cerebral (associada a imunossupressão),"Inclui dor torácica, tontura, edema de membros inferiores, síncope."
Acidente Vascular Cerebral (associada a gestação),"Caracteriza-se por tontura, dor torácica, falta de ar ao esforço, síncope, palpitações."
Acidente Vascular Cerebral (sem complicações),"Inclui falta de ar ao esforço, edema de membros inferiores, palpitações, síncope, tontura."
Acidente Vascular Cerebral (com complicações),"Sinais e sintomas: tontura, edema de membros inferiores, síncope, dor torácica, palpitações."
Encefalopatia (aguda),"Acometido por perda de sensibilidade, tontura, dor de cabeça, crise convulsiva, visão turva."
Encefalopatia (crônica),"Sinais e sintomas: visão turva, tontura, confusão mental, crise convulsiva, dor de cabeça, perda de sensibilidade."
Encefalopatia (recorrente),"Manifesta-se com perda de sensibilidade, visão turva, crise convulsiva."
Encefalopatia (complicada),"Sinais e sintomas: crise convulsiva, visão turva, confusão mental, dor de cabeça, tontura."
Encefalopatia (associada a infecção bacteriana),"Inclui tontura, visão turva, confusão mental, crise convulsiva, perda de sensibilidade, dor de cabeça."
Encefalopatia (associada a infecção viral),"Sinais e sintomas: perda de sensibilidade, dor de cabeça, tontura."
Encefalopatia (pós-operatória),"Caracteriza-se por dor de cabeça, crise convulsiva, visão turva, perda de sensibilidade, confusão mental, tontura."
Encefalopatia (idiopática),"Inclui dor de cabeça, crise convulsiva, visão turva, perda de sensibilidade, tontura."
Encefalopatia (grave),"Acometido por crise convulsiva, perda de sensibilidade, dor de cabeça, visão turva, confusão mental."
Encefalopatia (leve),"Sinais e sintomas: perda de sensibilidade, dor de cabeça, tontura, confusão mental, visão turva, crise convulsiva."
Encefalopatia (moderada),"Caracteriza-se por perda de sensibilidade, dor de cabeça, crise convulsiva, confusão mental, tontura, visão turva."
Encefalopatia (focal),"Acometido por crise convulsiva, dor de cabeça, tontura, perda de sensibilidade, visão turva."
Encefalopatia (sistêmica),"Sinais e sintomas: visão turva, confusão mental, perda de sensibilidade, dor de cabeça."
Encefalopatia (exacerbada),"Inclui confusão mental, crise convulsiva, dor de cabeça, tontura, visão turva."
Encefalopatia (controlada),"Sinais e sintomas: crise convulsiva, perda de sensibilidade, confusão mental, dor de cabeça."
Encefalopatia (mal controlada),"Inclui dor de cabeça, crise convulsiva, confusão mental, perda de sensibilidade."
Encefalopatia (associada a imunossupressão),"Caracteriza-se por perda de sensibilidade, visão turva, tontura."
Encefalopatia (associada a gestação),"Sinais e sintomas: confusão mental, visão turva, crise convulsiva, tontura, dor de cabeça, perda de sensibilidade."
Encefalopatia (sem complicações),"Sinais e sintomas: confusão mental, dor de cabeça, perda de sensibilidade, tontura."
Encefalopatia (com complicações),"Acometido por crise convulsiva, dor de cabeça, visão turva."
Epilepsia (aguda),"Inclui dor de cabeça, visão turva, crise convulsiva."
Epilepsia (crônica),"Acometido por confusão mental, tontura, crise convulsiva, dor de cabeça, perda de sensibilidade."
Epilepsia (recorrente),"Acometido por perda de sensibilidade, dor de cabeça, crise convulsiva, visão turva, confusão mental."
Epilepsia (complicada),"Caracteriza-se por visão turva, confusão mental, dor de cabeça."
Epilepsia (associada a infecção bacteriana),"Sinais e sintomas: visão turva, crise convulsiva, confusão mental, dor de cabeça, tontura."
Epilepsia (associada a infecção viral),"Manifesta-se com dor de cabeça, crise convulsiva, visão turva, perda de sensibilidade."
Epilepsia (pós-operatória),"Manifesta-se com dor de cabeça, perda de sensibilidade, confusão mental, visão turva."
Epilepsia (idiopática),"Sinais e sintomas: perda de sensibilidade, confusão mental, tontura."
Epilepsia (grave),"Manifesta-se com visão turva, crise convulsiva, confusão mental, tontura, dor de cabeça, perda de sensibilidade."
Epilepsia (leve),"Acometido por dor de cabeça, perda de sensibilidade, confusão mental, tontura."
Epilepsia (moderada),"Manifesta-se com tontura, confusão mental, visão turva, crise convulsiva, perda de sensibilidade, dor de cabeça."
Epilepsia (focal),"Manifesta-se com crise convulsiva, perda de sensibilidade, visão turva, dor de cabeça, confusão mental."
Epilepsia (sistêmica),"Sinais e sintomas: perda de sensibilidade, confusão mental, tontura, visão turva, crise convulsiva."
Epilepsia (exacerbada),"Inclui visão turva, dor de cabeça, perda de sensibilidade, crise convulsiva."
Epilepsia (controlada),"Manifesta-se com crise convulsiva, visão turva, perda de sensibilidade."
Epilepsia (mal controlada),"Manifesta-se com tontura, visão turva, confusão mental, crise convulsiva, dor de cabeça, perda de sensibilidade."
Epilepsia (associada a imunossupressão),"Sinais e sintomas: tontura, visão turva, perda de sensibilidade, confusão mental, crise convulsiva."
Epilepsia (associada a gestação),"Sinais e sintomas: confusão mental, dor de cabeça, perda de sensibilidade, visão turva."
Epilepsia (sem complicações),"Manifesta-se com crise convulsiva, visão turva, dor de cabeça, tontura, perda de sensibilidade, confusão mental."
Epilepsia (com complicações),"Acometido por confusão mental, visão turva, perda de sensibilidade."
Enxaqueca (aguda),"Sinais e sintomas: dor de cabeça, tontura, visão turva."
Enxaqueca (crônica),"Acometido por confusão mental, tontura, perda de sensibilidade, crise convulsiva."
Enxaqueca (recorrente),"Acometido por tontura, confusão mental, crise convulsiva, visão turva, perda de sensibilidade, dor de cabeça."
Enxaqueca (complicada),"Caracteriza-se por visão turva, confusão mental, perda de sensibilidade."
Enxaqueca (associada a infecção bacteriana),"Inclui crise convulsiva, visão turva, dor de cabeça."
Enxaqueca (associada a infecção viral),"Sinais e sintomas: dor de cabeça, crise convulsiva, confusão mental, perda de sensibilidade, tontura."
Enxaqueca (pós-operatória),"Sinais e sintomas: confusão mental, perda de sensibilidade, visão turva, tontura, crise convulsiva."
Enxaqueca (idiopática),"Manifesta-se com perda de sensibilidade, tontura, visão turva, crise convulsiva."
Enxaqueca (grave),"Inclui tontura, crise convulsiva, confusão mental, dor de cabeça, visão turva, perda de sensibilidade."
Enxaqueca (leve),"Manifesta-se com confusão mental, perda de sensibilidade, tontura, dor de cabeça, crise convulsiva, visão turva."
Enxaqueca (moderada),"Manifesta-se com visão turva, tontura, perda de sensibilidade, crise convulsiva, confusão mental, dor de cabeça."
Enxaqueca (focal),"Manifesta-se com tontura, perda de sensibilidade, dor de cabeça, crise convulsiva."
Enxaqueca (sistêmica),"Sinais e sintomas: perda de sensibilidade, visão turva, crise convulsiva, dor de cabeça, confusão mental."
Enxaqueca (exacerbada),"Caracteriza-se por dor de cabeça, visão turva, perda de sensibilidade, crise convulsiva, confusão mental."
Enxaqueca (controlada),"Caracteriza-se por perda de sensibilidade, visão turva, dor de cabeça, crise convulsiva, confusão mental."
Enxaqueca (mal controlada),"Sinais e sintomas: confusão mental, visão turva, crise convulsiva."
Enxaqueca (associada a imunossupressão),"Sinais e sintomas: visão turva, dor de cabeça, perda de sensibilidade, tontura, crise convulsiva."
Enxaqueca (associada a gestação),"Sinais e sintomas: crise convulsiva, confusão mental, visão turva, dor de cabeça, perda de sensibilidade, tontura."
Enxaqueca (sem complicações),"Sinais e sintomas: confusão mental, perda de sensibilidade, tontura."
Enxaqueca (com complicações),"Inclui confusão mental, visão turva, dor de cabeça, tontura, crise convulsiva."
Doença De Parkinson (aguda),"Sinais e sintomas: crise convulsiva, confusão mental, tontura."
Doença De Parkinson (crônica),"Sinais e sintomas: crise convulsiva, dor de cabeça, visão turva, confusão mental, perda de sensibilidade."
Doença De Parkinson (recorrente),"Caracteriza-se por crise convulsiva, tontura, confusão mental, perda de sensibilidade, dor de cabeça, visão turva."
Doença De Parkinson (complicada),"Sinais e sintomas: crise convulsiva, dor de cabeça, tontura."
Doença De Parkinson (associada a infecção bacteriana),"Caracteriza-se por perda de sensibilidade, confusão mental, tontura, crise convulsiva, visão turva, dor de cabeça."
Doença De Parkinson (associada a infecção viral),"Manifesta-se com dor de cabeça, crise convulsiva, confusão mental, perda de sensibilidade, visão turva."
Doença De Parkinson (pós-operatória),"Acometido por crise convulsiva, perda de sensibilidade, tontura, visão turva, confusão mental, dor de cabeça."
Doença De Parkinson (idiopática),"Inclui dor de cabeça, crise convulsiva, perda de sensibilidade, tontura, visão turva, confusão mental."
Doença De Parkinson (grave),"Acometido por perda de sensibilidade, visão turva, crise convulsiva, tontura, confusão mental."
Doença De Parkinson (leve),"Sinais e sintomas: confusão mental, visão turva, perda de sensibilidade, tontura, dor de cabeça."
Doença De Parkinson (moderada),"Inclui confusão mental, tontura, crise convulsiva, perda de sensibilidade, dor de cabeça."
Doença De Parkinson (focal),"Manifesta-se com perda de sensibilidade, dor de cabeça, visão turva."
Doença De Parkinson (sistêmica),"Inclui confusão mental, crise convulsiva, visão turva, dor de cabeça."
Doença De Parkinson (exacerbada),"Sinais e sintomas: dor de cabeça, visão turva, tontura."
Doença De Parkinson (controlada),"Manifesta-se com dor de cabeça, visão turva, tontura."
Doença De Parkinson (mal controlada),"Manifesta-se com dor de cabeça, tontura, crise convulsiva, visão turva."
Doença De Parkinson (associada a imunossupressão),"Acometido por crise convulsiva, perda de sensibilidade, confusão mental, tontura, dor de cabeça, visão turva."
Doença De Parkinson (associada a gestação),"Manifesta-se com perda de sensibilidade, crise convulsiva, dor de cabeça, tontura, visão turva, confusão mental."
Doença De Parkinson (sem complicações),"Caracteriza-se por tontura, visão turva, perda de sensibilidade, dor de cabeça, confusão mental, crise convulsiva."
Doença De Parkinson (com complicações),"Inclui tontura, visão turva, dor de cabeça, confusão mental, crise convulsiva, perda de sensibilidade."
Esclerose Múltipla (aguda),"Inclui visão turva, crise convulsiva, perda de sensibilidade."
Esclerose Múltipla (crônica),"Manifesta-se com confusão mental, dor de cabeça, visão turva, crise convulsiva."
Esclerose Múltipla (recorrente),"Inclui confusão mental, crise convulsiva, perda de sensibilidade, visão turva."
Esclerose Múltipla (complicada),"Inclui perda de sensibilidade, confusão mental, visão turva, crise convulsiva, dor de cabeça, tontura."
Esclerose Múltipla (associada a infecção bacteriana),"Inclui dor de cabeça, visão turva, crise convulsiva, tontura, perda de sensibilidade, confusão mental."
Esclerose Múltipla (associada a infecção viral),"Caracteriza-se por visão turva, crise convulsiva, dor de cabeça, tontura, confusão mental."
Esclerose Múltipla (pós-operatória),"Manifesta-se com perda de sensibilidade, tontura, crise convulsiva."
Esclerose Múltipla (idiopática),"Caracteriza-se por perda de sensibilidade, dor de cabeça, confusão mental, crise convulsiva, visão turva."
Esclerose Múltipla (grave),"Manifesta-se com dor de cabeça, visão turva, tontura, perda de sensibilidade."
Esclerose Múltipla (leve),"Acometido por perda de sensibilidade, visão turva, confusão mental, dor de cabeça, crise convulsiva."
Esclerose Múltipla (moderada),"Sinais e sintomas: confusão mental, dor de cabeça, perda de sensibilidade, visão turva, crise convulsiva."
Esclerose Múltipla (focal),"Inclui confusão mental, visão turva, tontura, dor de cabeça."
Esclerose Múltipla (sistêmica),"Caracteriza-se por confusão mental, dor de cabeça, perda de sensibilidade, crise convulsiva, visão turva, tontura."
Esclerose Múltipla (exacerbada),"Manifesta-se com confusão mental, dor de cabeça, crise convulsiva, visão turva."
Esclerose Múltipla (controlada),"Manifesta-se com visão turva, dor de cabeça, confusão mental, perda de sensibilidade."
Esclerose Múltipla (mal controlada),"Manifesta-se com dor de cabeça, tontura, perda de sensibilidade, visão turva."
Esclerose Múltipla (associada a imunossupressão),"Acometido por confusão mental, visão turva, tontura."
Esclerose Múltipla (associada a gestação),"Inclui visão turva, tontura, crise convulsiva."
Esclerose Múltipla (sem complicações),"Sinais e sintomas: tontura, perda de sensibilidade, confusão mental, crise convulsiva, visão turva."
Esclerose Múltipla (com complicações),"Caracteriza-se por tontura, visão turva, dor de cabeça, perda de sensibilidade, crise convulsiva, confusão mental."
Neuropatia Periférica (aguda),"Manifesta-se com dor de cabeça, confusão mental, visão turva, perda de sensibilidade, crise convulsiva, tontura."
Neuropatia Periférica (crônica),"Manifesta-se com tontura, confusão mental, crise convulsiva, perda de sensibilidade."
Neuropatia Periférica (recorrente),"Caracteriza-se por tontura, visão turva, dor de cabeça, crise convulsiva."
Neuropatia Periférica (complicada),"Manifesta-se com confusão mental, crise convulsiva, visão turva."
Neuropatia Periférica (associada a infecção bacteriana),"Acometido por tontura, dor de cabeça, visão turva, crise convulsiva."
Neuropatia Periférica (associada a infecção viral),"Caracteriza-se por perda de sensibilidade, tontura, crise convulsiva, dor de cabeça."
Neuropatia Periférica (pós-operatória),"Caracteriza-se por confusão mental, perda de sensibilidade, visão turva, dor de cabeça."
Neuropatia Periférica (idiopática),"Caracteriza-se por confusão mental, crise convulsiva, visão turva."
Neuropatia Periférica (grave),"Inclui crise convulsiva, visão turva, perda de sensibilidade, dor de cabeça, confusão mental."
Neuropatia Periférica (leve),"Inclui tontura, dor de cabeça, perda de sensibilidade, crise convulsiva."
Neuropatia Periférica (moderada),"Caracteriza-se por confusão mental, perda de sensibilidade, crise convulsiva, tontura."
Neuropatia Periférica (focal),"Caracteriza-se por dor de cabeça, crise convulsiva, tontura, confusão mental."
Neuropatia Periférica (sistêmica),"Sinais e sintomas: perda de sensibilidade, tontura, dor de cabeça, visão turva."
Neuropatia Periférica (exacerbada),"Sinais e sintomas: perda de sensibilidade, tontura, visão turva."
Neuropatia Periférica (controlada),"Caracteriza-se por perda de sensibilidade, crise convulsiva, tontura, confusão mental."
Neuropatia Periférica (mal controlada),"Acometido por tontura, crise convulsiva, confusão mental, dor de cabeça, visão turva."
Neuropatia Periférica (associada a imunossupressão),"Caracteriza-se por perda de sensibilidade, confusão mental, visão turva."
Neuropatia Periférica (associada a gestação),"Sinais e sintomas: crise convulsiva, visão turva, tontura, confusão mental."
Neuropatia Periférica (sem complicações),"Sinais e sintomas: dor de cabeça, perda de sensibilidade, visão turva, confusão mental."
Neuropatia Periférica (com complicações),"Acometido por crise convulsiva, dor de cabeça, perda de sensibilidade, confusão mental, visão turva, tontura."
Síndrome Do Túnel Do Carpo (aguda),"Inclui visão turva, tontura, dor de cabeça, confusão mental."
Síndrome Do Túnel Do Carpo (crônica),"Inclui confusão mental, visão turva, dor de cabeça, tontura, crise convulsiva, perda de sensibilidade."
Síndrome Do Túnel Do Carpo (recorrente),"Caracteriza-se por tontura, dor de cabeça, visão turva, crise convulsiva, confusão mental, perda de sensibilidade."
Síndrome Do Túnel Do Carpo (complicada),"Caracteriza-se por tontura, dor de cabeça, visão turva, confusão mental, crise convulsiva."
Síndrome Do Túnel Do Carpo (associada a infecção bacteriana),"Manifesta-se com perda de sensibilidade, confusão mental, tontura."
Síndrome Do Túnel Do Carpo (associada a infecção viral),"Manifesta-se com confusão mental, perda de sensibilidade, dor de cabeça, crise convulsiva, visão turva."
Síndrome Do Túnel Do Carpo (pós-operatória),"Sinais e sintomas: crise convulsiva, perda de sensibilidade, confusão mental."
Síndrome Do Túnel Do Carpo (idiopática),"Inclui confusão mental, dor de cabeça, crise convulsiva, perda de sensibilidade."
Síndrome Do Túnel Do Carpo (grave),"Sinais e sintomas: dor de cabeça, confusão mental, perda de sensibilidade, tontura, crise convulsiva."
Síndrome Do Túnel Do Carpo (leve),"Caracteriza-se por crise convulsiva, tontura, dor de cabeça, confusão mental, perda de sensibilidade."
Síndrome Do Túnel Do Carpo (moderada),"Sinais e sintomas: visão turva, dor de cabeça, perda de sensibilidade, crise convulsiva."
Síndrome Do Túnel Do Carpo (focal),"Manifesta-se com crise convulsiva, confusão mental, visão turva, perda de sensibilidade."
Síndrome Do Túnel Do Carpo (sistêmica),"Manifesta-se com dor de cabeça, crise convulsiva, visão turva."
Síndrome Do Túnel Do Carpo (exacerbada),"Manifesta-se com perda de sensibilidade, visão turva, crise convulsiva."
Síndrome Do Túnel Do Carpo (controlada),"Inclui confusão mental, dor de cabeça, tontura, perda de sensibilidade, visão turva."
Síndrome Do Túnel Do Carpo (mal controlada),"Acometido por crise convulsiva, dor de cabeça, visão turva, perda de sensibilidade."
Síndrome Do Túnel Do Carpo (associada a imunossupressão),"Inclui perda de sensibilidade, tontura, visão turva, crise convulsiva."
Síndrome Do Túnel Do Carpo (associada a gestação),"Manifesta-se com confusão mental, visão turva, tontura, perda de sensibilidade, crise convulsiva, dor de cabeça."
Síndrome Do Túnel Do Carpo (sem complicações),"Manifesta-se com tontura, dor de cabeça, visão turva, perda de sensibilidade, confusão mental."
Síndrome Do Túnel Do Carpo (com complicações),"Manifesta-se com confusão mental, crise convulsiva, perda de sensibilidade, visão turva, tontura."
Miastenia Gravis (aguda),"Manifesta-se com tontura, palpitações, edema de membros inferiores, dor torácica."
Miastenia Gravis (crônica),"Caracteriza-se por dor torácica, palpitações, tontura, falta de ar ao esforço, síncope."
Miastenia Gravis (recorrente),"Caracteriza-se por edema de membros inferiores, falta de ar ao esforço, tontura, dor torácica."
Miastenia Gravis (complicada),"Sinais e sintomas: palpitações, dor torácica, falta de ar ao esforço, edema de membros inferiores."
Miastenia Gravis (associada a infecção bacteriana),"Acometido por tontura, edema de membros inferiores, palpitações, dor torácica, falta de ar ao esforço, síncope."
Miastenia Gravis (associada a infecção viral),"Inclui síncope, falta de ar ao esforço, palpitações, tontura, edema de membros inferiores."
Miastenia Gravis (pós-operatória),"Sinais e sintomas: síncope, palpitações, edema de membros inferiores, falta de ar ao esforço, dor torácica, tontura."
Miastenia Gravis (idiopática),"Sinais e sintomas: edema de membros inferiores, tontura, síncope, palpitações, dor torácica."
Miastenia Gravis (grave),"Sinais e sintomas: edema de membros inferiores, dor torácica, síncope, falta de ar ao esforço, tontura."
Miastenia Gravis (leve),"Inclui dor torácica, síncope, palpitações, falta de ar ao esforço, tontura."
Miastenia Gravis (moderada),"Acometido por falta de ar ao esforço, palpitações, edema de membros inferiores."
Miastenia Gravis (focal),"Inclui dor torácica, falta de ar ao esforço, síncope."
Miastenia Gravis (sistêmica),"Manifesta-se com palpitações, síncope, tontura, falta de ar ao esforço, dor torácica, edema de membros inferiores."
Miastenia Gravis (exacerbada),"Acometido por tontura, síncope, edema de membros inferiores, dor torácica, palpitações, falta de ar ao esforço."
Miastenia Gravis (controlada),"Manifesta-se com falta de ar ao esforço, dor torácica, palpitações, tontura, síncope, edema de membros inferiores."
Miastenia Gravis (mal controlada),"Sinais e sintomas: edema de membros inferiores, síncope, falta de ar ao esforço, dor torácica."
Miastenia Gravis (associada a imunossupressão),"Manifesta-se com palpitações, edema de membros inferiores, tontura."
Miastenia Gravis (associada a gestação),"Manifesta-se com dor torácica, falta de ar ao esforço, síncope, edema de membros inferiores, tontura."
Miastenia Gravis (sem complicações),"Caracteriza-se por palpitações, falta de ar ao esforço, síncope, tontura, dor torácica, edema de membros inferiores."
Miastenia Gravis (com complicações),"Manifesta-se com falta de ar ao esforço, síncope, dor torácica, palpitações, tontura."
Anemia Ferropriva (aguda),"Acometido por fadiga, palidez, sangramento fácil, equimoses, palpitações."
Anemia Ferropriva (crônica),"Manifesta-se com equimoses, sangramento fácil, palidez."
Anemia Ferropriva (recorrente),"Inclui palidez, equimoses, fadiga."
Anemia Ferropriva (complicada),"Manifesta-se com palpitações, sangramento fácil, equimoses, fadiga, palidez."
Anemia Ferropriva (associada a infecção bacteriana),"Caracteriza-se por palpitações, palidez, fadiga, sangramento fácil, equimoses."
Anemia Ferropriva (associada a infecção viral),"Acometido por fadiga, equimoses, palidez, sangramento fácil, palpitações."
Anemia Ferropriva (pós-operatória),"Caracteriza-se por palidez, equimoses, fadiga, palpitações, sangramento fácil."
Anemia Ferropriva (idiopática),"Acometido por palpitações, equimoses, fadiga, sangramento fácil."
Anemia Ferropriva (grave),"Inclui palpitações, equimoses, palidez."
Anemia Ferropriva (leve),"Inclui equimoses, sangramento fácil, fadiga, palpitações, palidez."
Anemia Ferropriva (moderada),"Manifesta-se com palpitações, fadiga, palidez, equimoses."
Anemia Ferropriva (focal),"Manifesta-se com palidez, fadiga, palpitações."
Anemia Ferropriva (sistêmica),"Acometido por equimoses, fadiga, sangramento fácil, palpitações, palidez."
Anemia Ferropriva (exacerbada),"Caracteriza-se por fadiga, palpitações, equimoses."
Anemia Ferropriva (controlada),"Inclui fadiga, palpitações, palidez, equimoses, sangramento fácil."
Anemia Ferropriva (mal controlada),"Caracteriza-se por sangramento fácil, palpitações, palidez."
Anemia Ferropriva (associada a imunossupressão),"Inclui palpitações, palidez, fadiga."
Anemia Ferropriva (associada a gestação),"Inclui palidez, equimoses, sangramento fácil."
Anemia Ferropriva (sem complicações),"Caracteriza-se por palpitações, fadiga, equimoses."
Anemia Ferropriva (com complicações),"Acometido por palidez, palpitações, sangramento fácil, fadiga, equimoses."
Anemia Megaloblástica (aguda),"Sinais e sintomas: palpitações, palidez, sangramento fácil, equimoses."
Anemia Megaloblástica (crônica),"Inclui equimoses, fadiga, palpitações, palidez."
Anemia Megaloblástica (recorrente),"Acometido por equimoses, fadiga, sangramento fácil, palidez, palpitações."
Anemia Megaloblástica (complicada),"Inclui fadiga, palpitações, sangramento fácil, palidez, equimoses."
Anemia Megaloblástica (associada a infecção bacteriana),"Acometido por palpitações, fadiga, sangramento fácil."
Anemia Megaloblástica (associada a infecção viral),"Inclui palidez, equimoses, fadiga."
Anemia Megaloblástica (pós-operatória),"Sinais e sintomas: sangramento fácil, equimoses, palpitações, fadiga, palidez."
Anemia Megaloblástica (idiopática),"Caracteriza-se por sangramento fácil, fadiga, palidez, palpitações, equimoses."
Anemia Megaloblástica (grave),"Caracteriza-se por palidez, sangramento fácil, fadiga, palpitações, equimoses."
Anemia Megaloblástica (leve),"Acometido por palpitações, palidez, equimoses, sangramento fácil, fadiga."
Anemia Megaloblástica (moderada),"Manifesta-se com fadiga, sangramento fácil, palidez, equimoses, palpitações."
Anemia Megaloblástica (focal),"Sinais e sintomas: sangramento fácil, equimoses, fadiga, palpitações, palidez."
Anemia Megaloblástica (sistêmica),"Manifesta-se com sangramento fácil, palidez, palpitações, fadiga."
Anemia Megaloblástica (exacerbada),"Inclui fadiga, palidez, sangramento fácil, equimoses."
Anemia Megaloblástica (controlada),"Acometido por fadiga, sangramento fácil, equimoses."
Anemia Megaloblástica (mal controlada),"Caracteriza-se por palpitações, palidez, sangramento fácil, fadiga, equimoses."
Anemia Megaloblástica (associada a imunossupressão),"Inclui sangramento fácil, equimoses, palpitações, fadiga, palidez."
Anemia Megaloblástica (associada a gestação),"Manifesta-se com sangramento fácil, palpitações, fadiga."
Anemia Megaloblástica (sem complicações),"Manifesta-se com palidez, palpitações, sangramento fácil, fadiga, equimoses."
Anemia Megaloblástica (com complicações),"Sinais e sintomas: equimoses, sangramento fácil, fadiga, palidez."
Leucemia Linfóide (aguda),"Acometido por sangramento fácil, fadiga, equimoses, palidez, palpitações."
Leucemia Linfóide (crônica),"Inclui palpitações, equimoses, fadiga, sangramento fácil, palidez."
Leucemia Linfóide (recorrente),"Sinais e sintomas: fadiga, equimoses, palpitações."
Leucemia Linfóide (complicada),"Manifesta-se com sangramento fácil, palidez, fadiga, equimoses, palpitações."
Leucemia Linfóide (associada a infecção bacteriana),"Acometido por fadiga, palpitações, palidez."
Leucemia Linfóide (associada a infecção viral),"Acometido por palidez, equimoses, palpitações."
Leucemia Linfóide (pós-operatória),"Manifesta-se com palpitações, equimoses, palidez."
Leucemia Linfóide (idiopática),"Acometido por equimoses, palidez, palpitações, fadiga, sangramento fácil."
Leucemia Linfóide (grave),"Acometido por equimoses, palidez, fadiga, sangramento fácil, palpitações."
Leucemia Linfóide (leve),"Manifesta-se com fadiga, equimoses, palpitações, sangramento fácil, palidez."
Leucemia Linfóide (moderada),"Sinais e sintomas: equimoses, palpitações, palidez, fadiga."
Leucemia Linfóide (focal),"Sinais e sintomas: palpitações, palidez, equimoses, sangramento fácil."
Leucemia Linfóide (sistêmica),"Inclui palidez, sangramento fácil, fadiga, palpitações, equimoses."
Leucemia Linfóide (exacerbada),"Acometido por sangramento fácil, equimoses, palidez, fadiga, palpitações."
Leucemia Linfóide (controlada),"Caracteriza-se por palpitações, fadiga, palidez, equimoses, sangramento fácil."
Leucemia Linfóide (mal controlada),"Acometido por palpitações, sangramento fácil, equimoses, palidez, fadiga."
Leucemia Linfóide (associada a imunossupressão),"Manifesta-se com fadiga, palpitações, equimoses, sangramento fácil."
Leucemia Linfóide (associada a gestação),"Caracteriza-se por palidez, fadiga, sangramento fácil, equimoses, palpitações."
